HHID,SchID,FSU_Slno,Round,Schedule,Sample,Sector,NSS_Region,State,State_District,District,Stratum,SubStratumNo,SubRound,FODSubRegion,SSS,hh_no,visitNo,Level,b11bq1,b11bq3,b11bq4,b11bq5,b11bq6,NSC,MLT
552503021,771,55250,77,182,1,1,082,08,0824,24,24,21,2,0810,3,02,1,13,4,110,,,110,2,20300
552503021,771,55250,77,182,1,1,082,08,0824,24,24,21,2,0810,3,02,1,13,5,110,,,110,2,20300
552251021,771,55225,77,182,1,1,083,08,0832,32,32,31,2,0812,1,02,1,13,1,28000,,,28000,2,143550
552251021,771,55225,77,182,1,1,083,08,0832,32,32,31,2,0812,1,02,1,13,5,28000,,,28000,2,143550
552091011,771,55209,77,182,1,1,081,08,0803,03,03,33,2,0822,1,01,1,13,1,20000,0,0,20000,2,21750
552091011,771,55209,77,182,1,1,081,08,0803,03,03,33,2,0822,1,01,1,13,5,20000,0,0,20000,2,21750
550213021,771,55021,77,182,1,1,095,09,0917,17,17,31,1,0910,3,02,1,13,1,750000,0,0,750000,2,1496025
550213021,771,55021,77,182,1,1,095,09,0917,17,17,31,1,0910,3,02,1,13,5,750000,0,0,750000,2,1496025
554231031,771,55423,77,182,1,1,091,09,0904,04,04,33,1,0931,1,03,1,13,4,250,,,250,2,141250
554231031,771,55423,77,182,1,1,091,09,0904,04,04,33,1,0931,1,03,1,13,5,250,,,250,2,141250
554234011,771,55423,77,182,1,1,091,09,0904,04,04,33,1,0931,4,01,1,13,4,1000,,,1000,2,579125
554234011,771,55423,77,182,1,1,091,09,0904,04,04,33,1,0931,4,01,1,13,5,1000,,,1000,2,579125
554221011,771,55422,77,182,1,1,091,09,0904,04,04,21,1,0931,1,01,1,13,4,4800,3600,0,1200,2,10700
554221011,771,55422,77,182,1,1,091,09,0904,04,04,21,1,0931,1,01,1,13,5,4800,3600,0,1200,2,10700
554221021,771,55422,77,182,1,1,091,09,0904,04,04,21,1,0931,1,02,1,13,4,25000,12000,0,13000,2,10700
554221021,771,55422,77,182,1,1,091,09,0904,04,04,21,1,0931,1,02,1,13,5,25000,12000,0,13000,2,10700
554191011,771,55419,77,182,1,1,092,09,0906,06,06,21,1,0931,1,01,1,13,4,1000,0,0,1000,2,20200
554191011,771,55419,77,182,1,1,092,09,0906,06,06,21,1,0931,1,01,1,13,5,1000,0,0,1000,2,20200
554191021,771,55419,77,182,1,1,092,09,0906,06,06,21,1,0931,1,02,1,13,4,1200,0,0,1200,2,20200
554191021,771,55419,77,182,1,1,092,09,0906,06,06,21,1,0931,1,02,1,13,5,1200,0,0,1200,2,20200
554193011,771,55419,77,182,1,1,092,09,0906,06,06,21,1,0931,3,01,1,13,4,10000,0,0,10000,2,7575
554193011,771,55419,77,182,1,1,092,09,0906,06,06,21,1,0931,3,01,1,13,5,10000,0,0,10000,2,7575
554114011,771,55411,77,182,1,1,095,09,0918,18,18,34,1,0930,4,01,1,13,4,2000,0,,2000,2,793000
554114011,771,55411,77,182,1,1,095,09,0918,18,18,34,1,0930,4,01,1,13,5,2000,0,,2000,2,793000
554114021,771,55411,77,182,1,1,095,09,0918,18,18,34,1,0930,4,02,1,13,4,2500,0,0,2500,2,793000
